record_id,author_year,registry,period,std_pop,outcome_dim,minority_group,comparison_vs,minority_rate,min_ci_lo,min_ci_hi,nhw_rate,nhw_ci_lo,nhw_ci_hi,irr,irr_ci_lo,irr_ci_hi,provenance,source_location,notes,verification
485,Harper2009_SEER,SEER,2004,2000 US,age-ge50,Black,White (NH),313.7,,,343.4,,,0.914,,,computed-from-rates,Table 1 (women 50+),age>=50; no CI in table; comparator White,hand-extracted
485,Harper2009_SEER,SEER,2004,2000 US,age-ge50,Asian/PI (aggregate),White (NH),226.2,,,343.4,,,0.659,,,computed-from-rates,Table 1 (women 50+),age>=50; no CI in table; comparator White,hand-extracted
485,Harper2009_SEER,SEER,2004,2000 US,age-ge50,AIAN,White (NH),222.1,,,343.4,,,0.647,,,computed-from-rates,Table 1 (women 50+),age>=50; no CI in table; comparator White,hand-extracted
485,Harper2009_SEER,SEER,2004,2000 US,age-ge50,Hispanic,White (NH),226.8,,,343.4,,,0.660,,,computed-from-rates,Table 1 (women 50+),age>=50; no CI in table; comparator White,hand-extracted
66,Hendrick2021_SEER9,SEER 9,2013-2017,2000 US,aggregate-vs-NHW,Black,NHW,,,,,,,0.97,0.95,1.0,directly-reported-IRR,Table (women 40-75),age 40-75 overall incidence; excl advanced-stage/mortality,hand-extracted
66,Hendrick2021_SEER9,SEER 9,2013-2017,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),NHW,,,,,,,0.92,0.9,0.95,directly-reported-IRR,Table (women 40-75),age 40-75,hand-extracted
66,Hendrick2021_SEER9,SEER 9,2013-2017,2000 US,aggregate-vs-NHW,AIAN,NHW,,,,,,,0.58,0.52,0.65,directly-reported-IRR,Table (women 40-75),age 40-75 (Native American),hand-extracted
66,Hendrick2021_SEER9,SEER 9,2013-2017,2000 US,aggregate-vs-NHW,Hispanic,NHW,,,,,,,0.75,0.73,0.76,directly-reported-IRR,Table (women 40-75),age 40-75,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2neg,Black,NHW,93.3,,,126.7,,,0.739,0.712,0.768,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2neg,Asian/PI (aggregate),NHW,86.5,,,126.7,,,0.689,0.662,0.717,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2neg,Hispanic,NHW,76.4,,,126.7,,,0.604,0.581,0.627,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-TNBC,Black,NHW,33.3,,,18.3,,,1.817,1.697,1.946,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-TNBC,Asian/PI (aggregate),NHW,11.6,,,18.3,,,0.640,0.572,0.716,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-TNBC,Hispanic,NHW,15.0,,,18.3,,,0.824,0.756,0.897,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2pos,Black,NHW,17.2,,,17.0,,,1.004,0.916,1.101,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2pos,Asian/PI (aggregate),NHW,14.3,,,17.0,,,0.850,0.768,0.941,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
2,Howlader2014_SEER18,SEER 18,2010,2000 US,subtype-HRpos-HER2pos,Hispanic,NHW,11.8,,,17.0,,,0.687,0.625,0.756,computed-from-rates-with-CI,"Suppl Table 3 (age-std by me from age-specific rates, 2000 US std)",age-standardized from 14 age-specific rates,hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRpos-HER2pos,Black,NHW,,,,,,,1.12,1.08,1.16,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRneg-HER2pos,Black,NHW,,,,,,,1.46,1.38,1.54,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-TNBC,Black,NHW,,,,,,,2.07,2.01,2.14,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRpos-HER2neg,Black,NHW,,,,,,,0.86,0.84,0.87,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRneg-HER2pos,Asian/PI (aggregate),NHW,,,,,,,1.41,1.33,1.49,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRpos-HER2neg,Asian/PI (aggregate),NHW,,,,,,,0.87,0.85,0.88,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-TNBC,Asian/PI (aggregate),NHW,,,,,,,0.79,0.75,0.83,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRpos-HER2neg,Hispanic,NHW,,,,,,,0.78,0.76,0.79,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-HRpos-HER2pos,Hispanic,NHW,,,,,,,0.91,0.88,0.94,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
286,Kong2020_SEER18,SEER 18,2010-2015,2000 US,subtype-TNBC,Hispanic,NHW,,,,,,,0.94,0.91,0.98,directly-reported-IRR,Results text,"minority/NHW direction verified ('In [minority]...higher/lower than NHW'); overall Black is NHW/Black=1.04 -> 0.96 (not recorded, ambiguous phrasing)",hand-extracted
100,Liu2012_LACounty,LA County (SEER),2007,2000 US,disaggregated-AANHPI,Chinese,NHW,83.9,,,145.8,,,0.575,,,directly-reported-rate,text (overall AAIR 2007),LA County single-year 2007 AAIR; no CI in narrative; Japanese/Filipina in Fig only,hand-extracted
100,Liu2012_LACounty,LA County (SEER),2007,2000 US,disaggregated-AANHPI,Korean,NHW,81.3,,,145.8,,,0.558,,,directly-reported-rate,text (overall AAIR 2007),LA County single-year 2007 AAIR; no CI in narrative; Japanese/Filipina in Fig only,hand-extracted
100,Liu2012_LACounty,LA County (SEER),2007,2000 US,aggregate-vs-NHW,Black,NHW,125.2,,,145.8,,,0.859,,,directly-reported-rate,text (overall AAIR 2007),LA County single-year 2007 AAIR; no CI in narrative; Japanese/Filipina in Fig only,hand-extracted
100,Liu2012_LACounty,LA County (SEER),2007,2000 US,aggregate-vs-NHW,Hispanic,NHW,77.5,,,145.8,,,0.532,,,directly-reported-rate,text (overall AAIR 2007),LA County single-year 2007 AAIR; no CI in narrative; Japanese/Filipina in Fig only,hand-extracted
12,Zhang2025_USCS_female,US national,2017-2021,2000 US,aggregate-vs-NHW,Black,White (NH),129.3,,,139.0,,,0.93,0.92,0.94,directly-reported-IRR,"Table (breast, rate ratio)",directly-reported rate ratio vs White; national,hand-extracted
12,Zhang2025_USCS_female,US national,2017-2021,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),White (NH),110.3,,,139.0,,,0.79,0.79,0.8,directly-reported-IRR,"Table (breast, rate ratio)",directly-reported rate ratio vs White; national,hand-extracted
12,Zhang2025_USCS_female,US national,2017-2021,2000 US,aggregate-vs-NHW,AIAN,White (NH),113.0,,,139.0,,,0.81,0.77,0.85,directly-reported-IRR,"Table (breast, rate ratio)",directly-reported rate ratio vs White; national,hand-extracted
12,Zhang2025_USCS_female,US national,2017-2021,2000 US,aggregate-vs-NHW,Hispanic,White (NH),101.2,,,139.0,,,0.73,0.72,0.73,directly-reported-IRR,"Table (breast, rate ratio)",directly-reported rate ratio vs White; national,hand-extracted
200,Gleason2012_SEER,SEER,2004-2008,2000 US,subtype-HRpos,Black,White,1026.9,,,1460.1,,,0.703,0.685,0.722,computed-from-rates-with-CI,Table 1 (cumulative incidence CIR),METRIC: CUMULATIVE incidence ratio (not age-adj annual IRR); ER/PR phenotype ER+PR+ (not HER2); ER-subtype sub-analysis only,hand-extracted
200,Gleason2012_SEER,SEER,2004-2008,2000 US,subtype-HRneg,Black,White,625.9,,,391.3,,,1.600,1.548,1.652,computed-from-rates-with-CI,Table 1 (cumulative incidence CIR),METRIC: CUMULATIVE incidence ratio (not age-adj annual IRR); ER/PR phenotype ER-PR- (not HER2); ER-subtype sub-analysis only,hand-extracted
200,Gleason2012_SEER,SEER,2004-2008,2000 US,subtype-ERpos-PRneg,Black,White,271.2,,,278.3,,,0.974,0.925,1.027,computed-from-rates-with-CI,Table 1 (cumulative incidence CIR),METRIC: CUMULATIVE incidence ratio (not age-adj annual IRR); ER/PR phenotype ER+PR- (not HER2); ER-subtype sub-analysis only,hand-extracted
200,Gleason2012_SEER,SEER,2004-2008,2000 US,subtype-ERneg-PRpos,Black,White,31.8,,,21.8,,,1.459,1.267,1.679,computed-from-rates-with-CI,Table 1 (cumulative incidence CIR),METRIC: CUMULATIVE incidence ratio (not age-adj annual IRR); ER/PR phenotype ER-PR+ (not HER2); ER-subtype sub-analysis only,hand-extracted
1478,Yazzie2025_Navajo,Navajo Nation registry (IHS),2014-2018,2000 US,AIAN,AIAN (Navajo),NHW,60.9,,,,,,0.49,0.44,0.55,directly-reported-IRR,Table (Navajo vs NHW),"distinct AIAN pop (Navajo Nation, Southwest); lowest AIAN estimate; breast rate 60.9",hand-extracted
169,Ellington2022_USCS,USCS(NPCR+SEER),2018,2000 US,aggregate-vs-NHW,Black,NHW,174.0,,,186.5,,,0.933,0.920,0.946,computed-from-rates-Poisson-SE,MMWR Table (women >=20),USCS ~99% coverage; women aged >=20 (rates ~33% above all-age scale); SE Poisson from annual counts; verified vs fulltext,hand-extracted
169,Ellington2022_USCS,USCS(NPCR+SEER),2018,2000 US,aggregate-vs-NHW,Hispanic,NHW,134.0,,,186.5,,,0.718,0.707,0.731,computed-from-rates-Poisson-SE,MMWR Table (women >=20),USCS ~99% coverage; women aged >=20 (rates ~33% above all-age scale); SE Poisson from annual counts; verified vs fulltext,hand-extracted
169,Ellington2022_USCS,USCS(NPCR+SEER),2018,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),NHW,143.5,,,186.5,,,0.769,0.752,0.788,computed-from-rates-Poisson-SE,MMWR Table (women >=20),USCS ~99% coverage; women aged >=20 (rates ~33% above all-age scale); SE Poisson from annual counts; verified vs fulltext,hand-extracted
169,Ellington2022_USCS,USCS(NPCR+SEER),2018,2000 US,aggregate-vs-NHW,AIAN,NHW,127.3,,,186.5,,,0.683,0.642,0.726,computed-from-rates-Poisson-SE,MMWR Table (women >=20),USCS ~99% coverage; women aged >=20 (rates ~33% above all-age scale); SE Poisson from annual counts; verified vs fulltext,hand-extracted
587,Nasseri2009,California-CCR,1988-2004,2000 US; IRR 0.86 and rates 126.2/146.9 directly reported in source,disaggregated-MENA,Middle Eastern,NHW,126.2,,,146.9,,,0.86,0.84,0.88,directly-reported-IRR,Abstract/Results (126.2/146.9),ME identified by surname recognition; author-reported rate ratio 0.86 (95% CI 0.84-0.88); invasive female breast; NEW MENA cell,hand-extracted
51,Nash2022,ANTR (Alaska Native Tumour Registry),2014-2018,2000 US,AIAN,Alaska Native,NHW (external SEER-Explorer),130.8,116.7,146.0,137.4,,,0.952,0.851,1.065,computed-from-rates-with-CI,"Table 1 (female breast, 340 cases IR 130.8)","NHW=SEER-21 observed 2014-2018 annual mean 137.4 (2000 US std), external pairing (paper is ANTR-only); Alaska-Native-specific registry | overlaps rec28 (same ANTR registry, 2009-2014, directly-reported IRR 1.09) -> rec28 is representative, rec51 sensitivity",hand-extracted
955,Goggins2009,SEER (SF/Seattle/Detroit/Atlanta/CT/LA/SanJose),1988-2004,World (SIR ref=US White),disaggregated-AANHPI,Asian Indian/Pakistani,US White (SIR reference),59.52,,,,,,0.61,0.56,0.66,directly-reported-SIR,Table 1 (Breast female SIR 0.61),"SIR vs US White population, 923 cases; overlaps rec234 AIPA (disaggregated-AANHPI); correct paper verified (955.pdf==461.pdf Goggins&Wong)",hand-extracted
4333,Wilkinson2002,Florida (Miami-Dade FCDS),1990-1998,age-adjusted (SE-reported),Hispanic-origin,Hispanic/Latina (aggregate),NHW,81.9,,,125.8,,,0.651,0.624,0.679,computed-from-rates-with-CI,Table 1 (breast invasive 1990-1998),"CI from reported SEs: SE_hisp=1.2 SE_nhw=2.0; SE(logIRR)=0.0216; Miami-Dade Hispanic (Cuban-heavy); overlaps FL Hispanic rec3182 | regional aggregate; clusters with rec3298 aggregate Hispanic (collapse, sensitivity)",hand-extracted
49,Mills2005,California-CCR,Hmong 1988-2000 / NHW 1995-1999,2000 US; NHW 145.5 reported in source Table (NHW/API 1995-1999),disaggregated-AANHPI,Hmong,NHW,23.8,,,145.5,,,0.164,0.120,0.224,computed-from-rates-Poisson-SE,"Table 2 (Breast female: Hmong 23.8 n=39, NHW 145.5)",Hmong female breast AAIR 23.8 (39 cases) vs NHW 145.5; SE(logIRR)=1/sqrt(39)=0.160 (NHW denominator large/fixed); period mismatch Hmong 1988-2000 vs NHW 1995-1999; lowest AANHPI subgroup,hand-extracted
3267,Kem2007,California-CCR + Puget Sound (SEER),1998-2002,2000 US; NHW 155.5 and Cambodian/White ratio 0.26 reported in source Table,disaggregated-AANHPI,Cambodian,NHW,41.0,,,155.5,,,0.264,0.204,0.341,computed-from-rates-Poisson-SE,"Table 1 Women Breast (high rate 41.0, count 58, NHW 155.5, ratio 0.26)",author-reported Cambodian/White ratio 0.26 (uses high rate 41.0); surname-method high/low rate bracket 34.8-41.0 (NOT a CI); SE(logIRR)=1/sqrt(58)=0.131 Poisson from 58 cases,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,aggregate-vs-NHW,Black,NHW,131.2,130.1,132.2,139.5,139.0,140.0,0.941,0.932,0.949,computed-from-rates-with-CI,eTable3,eTable3 aggregated SEER-21 rate; overlap/sensitivity vs in-paper NHW 139.5; SEER-21 subset of USCS/NAACCR family,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,aggregate-vs-NHW,Hispanic,NHW,104.0,103.3,104.7,139.5,139.0,140.0,0.746,0.74,0.751,computed-from-rates-with-CI,eTable3,eTable3 aggregated SEER-21 rate; overlap/sensitivity vs in-paper NHW 139.5; SEER-21 subset of USCS/NAACCR family,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,aggregate-vs-NHW,AIAN,NHW,98.7,94.5,103.1,139.5,139.0,140.0,0.708,0.677,0.739,computed-from-rates-with-CI,eTable3,eTable3 aggregated SEER-21 rate; overlap/sensitivity vs in-paper NHW 139.5; IHS-UNLINKED SEER (racial misclassification/undercount) — contrast with IHS-linked representative,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,aggregate-vs-NHW,Asian/PI (aggregate),NHW,112.9,111.8,113.9,139.5,139.0,140.0,0.809,0.801,0.817,computed-from-rates-with-CI,eTable3,eTable3 aggregated SEER-21 rate; overlap/sensitivity vs in-paper NHW 139.5; SEER-21 subset of USCS/NAACCR family,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,subtype-TNBC,Black,NHW,25.4,25.0,25.9,12.7,12.5,12.8,2.0,1.958,2.043,computed-from-rates-with-CI,eTable3 (TNBC row),eTable3 SEER-21 TNBC rates: Black 25.4 (25.0-25.9) vs NHW-TNBC 12.7 (12.5-12.8) 2000 US std (NOT the all-invasive 139.5); IRR 25.4/12.7=2.0 delta-method CI 1.958-2.043; overlaps rec155 USCS TNBC-Black representative,hand-extracted
236,Gomez 2010,California Cancer Registry (CCR),1988-2004,2000 US std,disaggregated-AANHPI,Chinese,NHW,73.5,71.6,75.4,146.1,145.5,146.7,0.503,0.490,0.516,computed-from-rates-with-CI,Table 1,overlap (sensitivity): CCR all-age invasive breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table1
236,Gomez 2010,California Cancer Registry (CCR),1988-2004,2000 US std,disaggregated-AANHPI,Japanese,NHW,102.5,99.3,105.9,146.1,145.5,146.7,0.702,0.679,0.725,computed-from-rates-with-CI,Table 1,overlap (sensitivity): CCR all-age invasive breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table1
236,Gomez 2010,California Cancer Registry (CCR),1988-2004,2000 US std,disaggregated-AANHPI,Filipina,NHW,100.4,98.1,102.8,146.1,145.5,146.7,0.687,0.671,0.704,computed-from-rates-with-CI,Table 1,overlap (sensitivity): CCR all-age invasive breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table1
236,Gomez 2010,California Cancer Registry (CCR),1988-2004,2000 US std,disaggregated-AANHPI,Korean,NHW,46.3,43.8,49.0,146.1,145.5,146.7,0.317,0.300,0.335,computed-from-rates-with-CI,Table 1,overlap (sensitivity): CCR all-age invasive breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table1
236,Gomez 2010,California Cancer Registry (CCR),1988-2004,2000 US std,disaggregated-AANHPI,Vietnamese,NHW,59.9,56.7,63.1,146.1,145.5,146.7,0.410,0.389,0.433,computed-from-rates-with-CI,Table 1,overlap (sensitivity): CCR all-age invasive breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table1
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Chinese,NHW,82.8,80.1,85.5,134.4,133.8,135.1,0.616,0.596,0.637,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Filipina,NHW,111.3,108.0,114.7,134.4,133.8,135.1,0.828,0.803,0.854,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Japanese,NHW,127.8,122.0,133.8,134.4,133.8,135.1,0.951,0.908,0.996,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Korean,NHW,75.6,71.4,79.8,134.4,133.8,135.1,0.562,0.532,0.595,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Asian Indian/Pakistani,NHW,106.3,101.9,110.9,134.4,133.8,135.1,0.791,0.758,0.825,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234) (reported as 'South Asian'),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Vietnamese,NHW,72.2,67.9,76.6,134.4,133.8,135.1,0.537,0.506,0.571,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
4027,Jin 2016,8-state SEER+NPCR (Jin),2009-2011,2000 US std,disaggregated-AANHPI,Asian American (aggregate),NHW,94.5,93.0,96.0,134.4,133.8,135.1,0.703,0.692,0.715,computed-from-rates-with-CI,Table 4,overlap (sensitivity): 8-state SEER+NPCR all-age female breast rates vs NHW; overlaps SEER-21 subgroup reps (rec 234),source-verified-Table4
461,Watanabe-Galloway 2015,NE/ND/SD state registries,2002-2009,2000 US std,AIAN,AIAN (Northern Plains),NHW,134.6,,,149.3,,,0.902,,,directly-reported-rate,"Table 2 (All: AI/AN 134.6, NHW 149.3; RR 0.9)",overlap (sensitivity): unlinked state-registry all-age breast; AI/AN-undercount vs IHS-linked Northern-Plains rep (rec 3662),source-verified-Table2
2137,Melkonian 2022,"USCS-AIAD urban (IHS-linked, UIHO)",2008-2017,2000 US std,AIAN,AIAN,NHW,74.2,,,129.6,,,0.573,,,directly-reported-rate,"Table 2 (urban AI/AN 74.2, urban NHW 129.6; RR 0.57)",overlap (sensitivity): urban-restricted IHS-linked AI/AN all-age breast; overlaps AI/AN aggregate rep (rec 500),source-verified-Table2
419,Amirikia 2011,California Cancer Registry (CCR),1988-2006,2000 US std,subtype-TNBC,Black,NHW,23.6,,,12.6,,,1.873,,,computed-from-rates,Table 2 (age-specific TNBC by race),overlap (sensitivity): all-age TNBC age-standardized by review from reported age-specific CCR rates (2000 US std weights); overlaps USCS TNBC rep (rec 155),author-standardized-Table2
419,Amirikia 2011,California Cancer Registry (CCR),1988-2006,2000 US std,subtype-TNBC,Hispanic,NHW,10.2,,,12.6,,,0.810,,,computed-from-rates,Table 2 (age-specific TNBC by race),overlap (sensitivity): all-age TNBC age-standardized by review from reported age-specific CCR rates (2000 US std weights); overlaps USCS TNBC rep (rec 155),author-standardized-Table2
209,Zhang 2022,NPCR+SEER (USCS),2019,2000 US std,subtype-TNBC,Black,NHW,25.0,,,12.8,,,1.953,,,directly-reported-rate,p.4 text (Figure 2A): 2019 AAIR by race,"overlap (sensitivity): 2019 triple-negative AAIR by race vs NHW 12.8 (NHB 25.0, Hispanic 11.5, AIAN 9.4, API 9.5); single-year cross-section, overlaps USCS TNBC rep (rec 155)",source-verified-text
209,Zhang 2022,NPCR+SEER (USCS),2019,2000 US std,subtype-TNBC,Hispanic,NHW,11.5,,,12.8,,,0.898,,,directly-reported-rate,p.4 text (Figure 2A): 2019 AAIR by race,"overlap (sensitivity): 2019 triple-negative AAIR by race vs NHW 12.8 (NHB 25.0, Hispanic 11.5, AIAN 9.4, API 9.5); single-year cross-section, overlaps USCS TNBC rep (rec 155)",source-verified-text
209,Zhang 2022,NPCR+SEER (USCS),2019,2000 US std,subtype-TNBC,AIAN,NHW,9.4,,,12.8,,,0.734,,,directly-reported-rate,p.4 text (Figure 2A): 2019 AAIR by race,"overlap (sensitivity): 2019 triple-negative AAIR by race vs NHW 12.8 (NHB 25.0, Hispanic 11.5, AIAN 9.4, API 9.5); single-year cross-section, overlaps USCS TNBC rep (rec 155)",source-verified-text
209,Zhang 2022,NPCR+SEER (USCS),2019,2000 US std,subtype-TNBC,Asian/PI (aggregate),NHW,9.5,,,12.8,,,0.742,,,directly-reported-rate,p.4 text (Figure 2A): 2019 AAIR by race,"overlap (sensitivity): 2019 triple-negative AAIR by race vs NHW 12.8 (NHB 25.0, Hispanic 11.5, AIAN 9.4, API 9.5); single-year cross-section, overlaps USCS TNBC rep (rec 155)",source-verified-text
