"Title","Author Names","Source title","Publication Year","Publication Type","ISSN","Abstract","Author Keywords","Article Language","Embase Accession ID","Medline PMID","DOI"
"An agent-based modeling framework linking inflammation and cancer using evolutionary principles: Description of a generative hierarchy for the hallmarks of cancer and developing a bridge between mechanism and epidemiological data","An G., Kulkarni S.","Mathematical Biosciences","2015","Article","1879-3134 (electronic),0025-5564","Inflammation plays a critical role in the development and progression of cancer, evident in multiple patient populations manifesting increased, non-resolving inflammation, such as inflammatory bowel disease, viral hepatitis and obesity. Given the complexity of both the inflammatory response and the process of oncogenesis, we utilize principles from the field of Translational Systems Biology to bridge the gap between basic mechanistic knowledge and clinical/epidemiologic data by integrating inflammation and oncogenesis within an agent-based model, the Inflammation and Cancer Agent-based Model (ICABM). The ICABM utilizes two previously published and clinically/epidemiologically validated mechanistic models to demonstrate the role of an increased inflammatory milieu on oncogenesis. Development of the ICABM required the creation of a generative hierarchy of the basic hallmarks of cancer to provide a foundation to ground the plethora of molecular and pathway components currently being studied. The ordering schema emphasizes the essential role of a fitness/selection frame shift to sub-organismal evolution as a basic property of cancer, where the generation of genetic instability as a negative effect for multicellular eukaryotic organisms represents the restoration of genetic plasticity used as an adaptive strategy by colonies of prokaryotic unicellular organisms. Simulations with the ICABM demonstrate that inflammation provides a functional environmental context that drives the shift to sub-organismal evolution, where increasingly inflammatory environments led to increasingly damaged genomes in microtumors (tumors below clinical detection size) and cancers. The flexibility of this platform readily facilitates tailoring the ICABM to specific cancers, their associated mechanisms and available epidemiological data. One clinical example of an epidemiological finding that could be investigated with this platform is the increased incidence of triple negative breast cancers in the premenopausal African-American population, which has been identified as having up-regulated of markers of inflammation. The fundamental nature of the ICABM suggests its usefulness as a base platform upon which additional molecular detail could be added as needed.","Agent-based modeling,Cancer,Computational biology,Evolution,Inflammation,Systems biology","English",2014706592,25087460,10.1016/j.mbs.2014.07.009
"Elevated risks of subsequent primary malignancies in patients with thyroid cancer: A nationwide, population-based study in Korea","Cho Y.Y., Lim J., Oh C.-M., Ryu J., Jung K.-W., Chung J.H., Won Y.-J., Kim S.W.","Cancer","2015","Article","1097-0142 (electronic),0008-543X","BACKGROUND: Thyroid cancer affects relatively young adults, and its overall survival is excellent. With long life expectancy, the development of subsequent cancers is an important concern for survivors of thyroid cancer. The objective of this study was to investigate the incidence and types of second primary malignancies in Korean patients with thyroid cancer. METHODS: The study cohort included 178,844 registrants with thyroid cancer from the Korea Central Cancer Registry (KCCR) database between 1993 and 2010. Standardized incidence ratios (SIRs) were calculated using a statistical software program (SEER∗Stat 8.0.4). RESULTS: Among 178,844 patients with thyroid cancer, 2895 (1.6%) were diagnosed with subsequent second primary malignancies. The overall risks of a second primary cancer were elevated by 6% in patients who had thyroid cancer compared with the general population during the same period. The elevated risks for developing second cancers were observed in all sites except the stomach and cervix. The elevated risk of second primary cancers was observed within the first 10 years of follow-up. Leukemia and cancers of the salivary gland, kidney, prostate, lung, and breast had the most significantly elevated risks as secondary cancers and presented as early as during the first 5 years after the initial diagnosis of thyroid cancer. CONCLUSIONS: This is the largest, standardized, population-based study to date using nationwide data from the entire Korean population. The risks of several cancers were elevated significantly during follow-up, thus alerting physicians to pay special attention in their care of patients with thyroid cancer and long-term survivors.","Adult,Republic of Korea,Risk,Second malignancy,Thyroid neoplasm","English",2014858422,25223713,10.1002/cncr.29025
"Incidence of breast cancer in a cohort of 5,135 transgender veterans","Brown G.R., Jones K.T.","Breast Cancer Research and Treatment","2015","Article","1573-7217 (electronic),0167-6806","Transgender (TG) persons often receive, or self-treat, with cross-sex hormone (CSH) treatments as part of their treatment plans, with little known about their incidence of breast cancer. This information gap can lead to disparities in the provision of transgender health care. The purpose of the study was to examine the incidence of breast cancer in the largest North American sample of TG patients studied to date to determine their exposure to CSH, incidence of breast cancer, and to compare results with European studies in transsexual populations. We used Veterans Health Administration (VHA) data from 5,135 TG veterans in the United States from 1996 to 2013 to determine the incidence of breast cancer in this population. Chart reviews were completed on all patients who developed breast cancer. Age-standardized incidences of breast cancer from the general population were used for comparison. Person-years of exposure to known CSH treatment were calculated. Ten breast cancer cases were confirmed. Seven were in female-to-male patients, two in male-to-female patients, and one in a natal male with transvestic fetishism. Average age at diagnosis was 63.8 (SD = 8.2). 52 % received >1 dose of CSH treatment from VHA clinicians. All three males presented with late-stage disease were proved fatal. The overall incidence rate was 20.0/100,000 patient-years of VHA treatment (95 % CI 9.6–36.8), irrespective of VA CSH treatment. This rate did not differ from the expected rate in an age-standardized national sample, but exceeded that reported for smaller European studies of transsexual patients that were longer in duration. Although definitive conclusions cannot be made regarding breast cancer incidence in TG veterans who did or did not receive VA CSH due to the sample size and duration of observation, it appears that TG veterans do not display an increase in breast cancer incidence. This is consistent with European studies of longer duration that conclude that CSH treatment in gender dysphoric patients of either birth sex does not result in a greater incidence than the general population.","Breast,Cancer,Gender dysphoria,Gender identity,Hormones,Transgender,Veteran","English",,25428790,10.1007/s10549-014-3213-2
"Analysis of incidence of lung cancer in various states of the USA","Vyas R., Haque S., Mital D.P., Srinivasan S.",,"2015","Article","1755-0661 (electronic),1755-0653","Lung cancer is the second most deadly cancer in this world after prostate cancer and breast cancer. Based on the past research, smoking is the primary cause of the death in lung cancer by age, race and gender. In this research, we have used National Inpatient Sample and census population for the state of CA, FL, TX, NY, IL, RI, VA, SC, and WI to determine the association of geographical variation with the risk factors by population. We have confirmed that incidence of lung cancer cases in CA (biggest state) are lower than smaller states like RI and VA. We confirmed our hypothesis that bigger state need not have to have higher incidence rate, but other like race, gender, pollution play an important role in increasing the occurrences.","Gender,Lung cancer,Morbidity,Mortality,Pollution,Race,USA","English",,,10.1504/IJMEI.2015.066241
"Trends in central nervous system tumor incidence relative to other common cancers in adults, adolescents, and children in the United States, 2000 to 2010","Gittleman H.R., Ostrom Q.T., Rouse C.D., Dowling J.A., De Blank P.M., Kruchko C.A., Elder J.B., Rosenfeld S.S., Selman W.R., Sloan A.E., Barnholtz-Sloan J.S.","Cancer","2015","Article","1097-0142 (electronic),0008-543X","BACKGROUND: Time trends in cancer incidence rates (IR) are important to measure the changing burden of cancer on a population over time.The overall IR of cancer in the United States is declining. Although central nervous system tumors (CNST) are rare, they contribute disproportionately to mortality and morbidity. In this analysis, the authors examined trends in the incidence of the most common cancers and CNST between 2000 and 2010. METHODS: The current analysis used data from the United States Cancer Statistics publication and the Central Brain Tumor Registry of the United States. Age-adjusted IR per 100,000 population with 95% confidence intervals and the annual percent change (APC) with 95% confidence intervals were calculated for selected common cancers and CNST overall and by age, sex, race/ethnicity, selected histologies, and malignancy status. RESULTS: In adults, there were significant decreases in colon (2000-2010: APC, -3.1), breast (2000-2010: APC, -0.8), lung (2000-2010: APC, -1.1), and prostate (2000-2010: APC, -2.4) cancer as well as malignant CNST (2008-2010: APC, -3.1), but a significant increase was noted in nonmalignant CNST (2004-2010: APC, 2.7). In adolescents, there were significant increases in malignant CNST (2000-2008: APC, 1.0) and nonmalignant CNST (2004-2010: APC, 3.9). In children, there were significant increases in acute lymphocytic leukemia (2000-2010: APC, 1.0), non-Hodgkin lymphoma (2000-2010: APC, 0.6), and malignant CNST (2000-2010: APC, 0.6). CONCLUSIONS: Surveillance of IR trends is an important way to measure the changing public health and economic burden of cancer. In the current study, there were significant decreases noted in the incidence of adult cancer, whereas adolescent and childhood cancer IR were either stable or increasing.","Annual percent change (APC),Central Brain Tumor Registry of the United States (CBTRUS),Central nervous system tumors,Incidence rates,Time trends,United States Cancer Statistics (USCS)","English",2014982833,25155924,10.1002/cncr.29015
"Greater absolute risk for all subtypes of breast cancer in the US than Malaysia","Horne H.N., Beena Devi C.R., Sung H., Tang T.S., Rosenberg P.S., Hewitt S.M., Sherman M.E., Anderson W.F., Yang X.R.","Breast Cancer Research and Treatment","2015","Article","1573-7217 (electronic),0167-6806","Hormone receptor (HR) negative breast cancers are relatively more common in low-risk than high-risk countries and/or populations. However, the absolute variations between these different populations are not well established given the limited number of cancer registries with incidence rate data by breast cancer subtype. We, therefore, used two unique population-based resources with molecular data to compare incidence rates for the ‘intrinsic’ breast cancer subtypes between a low-risk Asian population in Malaysia and high-risk non-Hispanic white population in the National Cancer Institute’s surveillance, epidemiology, and end results 18 registries database (SEER 18). The intrinsic breast cancer subtypes were recapitulated with the joint expression of the HRs (estrogen receptor and progesterone receptor) and human epidermal growth factor receptor-2 (HER2). Invasive breast cancer incidence rates overall were fivefold greater in SEER 18 than in Malaysia. The majority of breast cancers were HR-positive in SEER 18 and HR-negative in Malaysia. Notwithstanding the greater relative distribution for HR-negative cancers in Malaysia, there was a greater absolute risk for all subtypes in SEER 18; incidence rates were nearly 7-fold higher for HR-positive and 2-fold higher for HR-negative cancers in SEER 18. Despite the well-established relative breast cancer differences between low-risk and high-risk countries and/or populations, there was a greater absolute risk for HR-positive and HR-negative subtypes in the US than Malaysia. Additional analytical studies are sorely needed to determine the factors responsible for the elevated risk of all subtypes of breast cancer in high-risk countries like the United States.","Breast cancer,Incidence rates,Intrinsic subtypes,SEER","English",,25537643,10.1007/s10549-014-3243-9
"Breast cancer stage and treatment among Ohio medicaid beneficiaries with and without mental illness","Koroukian S.M., Bakaki P.M., Golchin N., Tyler C.V., Owusu C., Loue S.","Journal of Oncology Practice","2015","Article","1935-469X (electronic),1554-7477","Purpose: There is a dearth of studies on cancer outcomes in individuals with mental illness. We compared breast cancer outcomes in Medicaid beneficiaries with and without mental illness. Methods: Using records from the 1996 to 2005 Ohio Cancer Incidence Surveillance System (OCISS) and Medicaid files, we identified fee-for-service women age < 65 years diagnosed with incident invasive breast cancer who had enrolled in Medicaid ≥ 3 months before cancer diagnosis (n = 2,177). We retrieved cancer stage, patient demographics, and county of residence from the OCISS. From Medicaid claims data, we identified breast cancer treatment based on procedure codes and mental illness status based on diagnosis codes, prescription drugs dispensed, and service codes. We developed logistic regression models to examine the association between mental illness, cancer stage, and treatment for locoregional disease, adjusting for potential confounders. Results: Women with mental illness represented 60.2% of the study population. Adjusting for potential confounders, women with mental illness were less likely than those without mental illness to have unstaged or unknown-stage cancer (adjusted odds ratio [OR], 0.61; 95% CI, 0.44 to 0.86; P = .005) or to be diagnosed with distant-stage cancer (adjusted OR, 0.59; 95% CI, 0.40 to 0.85; P = .005). We observed no difference by mental illness status in receipt of definitive treatment (adjusted OR, 1.04; 95% CI, 0.84 to 1.29; P = .08). Conclusion: Among Ohio Medicaid beneficiaries, women with mental illness did not experience disparities in breast cancer stage or treatment of locoregional disease. These findings may reflect the equalizing effects of Medicaid through vulnerable individuals' improved access to both physical and mental health care.",,"English",2015680729,25466705,10.1200/JOP.2014.000034
"Global Surgical Oncology Disease Burden: Addressing Disparities Via Global Surgery Initiatives: The University of Michigan International Breast Cancer Registry","Jiagge E., Bensenhaver J.M., Oppong J.K., Awuah B., Newman L.A.","Annals of Surgical Oncology","2015","Article","1534-4681 (electronic),1068-9265","Methods: The University of Michigan (UM)-Komfo Anoyke Teaching Hospital (KATH) Breast Cancer Research Collaborative and International Breast Registry was established in 2004. It features epidemiologic information, tumor tissue, and germline DNA specimens from African American, white American, and Ghanaian women.Background: Disparities in breast cancer incidence and outcome between African American and white American women are multifactorial in etiology. The increased frequency of triple-negative breast cancers (TNBC) in African American patients suggests the possible contribution of hereditary factors related to African ancestry.Results: This research collaborative has generated valuable findings regarding the pathogenesis and patterns of TNBC while concomitantly improving the standard of breast oncology care in Ghana. This partnership has also yielded important opportunities for academic and educational exchange. It has expanded to involve other sites in Africa and Haiti.Conclusions: The UM-KATH collaborative is a model for demonstrating the research and academic exchange value of international partnerships.",,"English",2015684712,,10.1245/s10434-014-4345-7
"Trends and variations in breast and colorectal cancer incidence from 1995 to 2011: A comparative study between Texas Cancer Registry and National Cancer Institute's Surveillance, Epidemiology and End Results data","Liu Z., Zhang Y., Franzin L., Cormier J.N., Chan W., Xu H., Du X.L.","International Journal of Oncology","2015","Article","1791-2423 (electronic),1019-6439","Few studies have examined the cancer incidence trends in the state of Texas, and no study has ever been conducted to compare the temporal trends of breast and colorectal cancer incidence in Texas with those of the National Cancer Institute's Surveillance, Epidemiology and End Results (SEER) in the United States. This study aimed to conduct a parallel comparison between the Texas Cancer Registry and the National Cancer Institute's SEER on cancer incidence from 1995 to 2011. A total of 951,899 breast and colorectal cancer patients were included. Age-adjusted breast cancer incidence was 134.74 per 100,000 in Texas and 131.78 per 100,000 in SEER in 1995-2011, whereas age-adjusted colorectal cancer incidence was 50.52 per 100,000 in Texas and 49.44 per 100,000 in SEER. Breast cancer incidence increased from 1995 to 2001, decreased from 2002 to 2006, and then remained relatively stable from 2007 to 2011. For colorectal cancer, the incidence increased in 1995-1997, and then decreased continuously from 1998 to 2011 in Texas and SEER areas. Incidence rates and relative risks by age, gender and ethnicity were identical between Texas and SEER.","Breast cancer,Colorectal cancer,Incidence rates,Relative risks,Trends","English",2015761988,25672365,10.3892/ijo.2015.2881
"A perfect storm: How tumor biology, genomics, and health care delivery patterns collide to create a racial survival disparity in breast cancer and proposed interventions for change","Daly B., Olopade O.I.","CA Cancer Journal for Clinicians","2015","Article","1542-4863 (electronic),0007-9235","It is well known that there is a significant racial divide in breast cancer incidence and mortality rates. African American women are less likely to be diagnosed with breast cancer than white women but are more likely to die from it. This review explores the factors that may contribute to the racial survival disparity. Consideration is paid to what is known about the role of differences in tumor biology, genomics, cancer screening, and quality of cancer care. It is argued that it is the collision of 2 forces, tumor biology and genomics, with patterns of care that leads to the breast cancer mortality gap. The delays, misuse, and underuse of treatment for African American patients are of increased significance when these patients are presenting with more aggressive forms of breast cancer. In the current climate of health care reform ushered in by the Affordable Care Act, this article also evaluates interventions to close the disparity gap. Prior interventions have been too narrowly focused on the patient rather than addressing the system and improving care across the continuum of breast cancer evaluation and treatment. Lastly, areas of future investigation and policy initiatives aimed at reducing the racial survival disparity in breast cancer are discussed.","breast cancer,disparities research,health services research,precision medicine","English",2015925058,25960198,10.3322/caac.21271
"Breast cancer subtype as a predictor of lymph node metastasis according to the SEER registry","Mattes M.D., Bhatia J.K., Metzger D., Ashamalla H., Katsoulakis E.","Journal of Breast Cancer","2015","Article","1738-6756","Purpose: Breast cancer subtype correlates with response to systemic therapy and overall survival (OS), but its impact on lymphatic spread is incompletely understood. In this study, we used the Surveillance, Epidemiology, and End Results registry to assess whether the subtype can predict the presence of nodal metastasis or advanced nodal stage in breast cancer. Methods: A total of 7,274 eligible patients diagnosed with T1-3 infiltrating ductal carcinoma with known estrogen or progesterone hormone receptor (HR) and human epidermal growth factor receptor 2 (HER2) status, who underwent surgical excision of the primary tumor and pathologic lymph node evaluation, were included in this analysis. Patients were categorized into four breast cancer subtypes: HR+/HER2−; HR+/HER2+; HR−/HER2+; and HR−/HER2−. Binary logistic regression analysis was used to determine whether breast cancer subtype, tumor size, tumor grade, patient race, and patient age at diagnosis are independently predictive of lymph node positivity or advanced nodal stage. The Pearson chi-square test was used to determine whether progesterone receptor (PR) status had an impact on the incidence of lymph node positivity in estrogen receptor (ER) positive patients. Results: Independent predictors of nodal positivity included breast cancer subtype (p=0.040), tumor size (p<0.001), tumor grade (p<0.001), and patient age (p<0.001), whereas only tumor size (p<0.001), grade (p=0.001), and patient age (p=0.005) predicted advanced nodal stage. Triple-negative cancers had a significantly lower risk of nodal positivity than the HR+/HER2− subtype (odds ratio, 0.686; p=0.004), but no other significant differences between subtypes were observed. There was also no difference in lymph node positivity between PR+ and PR− tumors amongst ER+/HER2− (p=0.228) or ER+/HER2+ tumors (p=0.713). Conclusion: The HR+/HER2− breast cancer subtype has a higher rate of lymph node involvement at diagnosis than the triple-negative subtype. These findings may play a role in guiding regional management considerations if confirmed in further studies.","Biological tumor markers,Breast neoplasms,Estrogen receptors","English",2015178035,,10.4048/jbc.2015.18.2.143
"Does where you live play an important role in cancer incidence in the U.S.?","Fogleman A.J., Mueller G.S., Jenkins W.D.","American Journal of Cancer Research","2015","Article","2156-6976 (electronic)","Some studies have shown disproportionate cancer incidence burden in rural areas which may be attributable partly due to the use of 'rural' as a generic term implying homogeneity of risk/protective factors across wide geographic spans. Counties in SEER 18 registries (years 2001-2011) were classified by their Rural-Urban Continuum Code (RUCC) and aggregated into urban, adjacent rural, and non-adjacent rural and were also aggregated into 3 regions: North, South, and West. Two-way ANCOVA was performed with region and RUCC as factors with adjustment for rates of common risk factors obtained from the County Health Rankings (2013). RUCC has a significant effect on incidence rate in urban areas on breast (P=0.001) and prostate (P=0.009). Colorectal significantly varies by region (P<0.0001), and the effect of rurality significantly varies across regions with North highest (P =0.0005). Lung rates significantly vary across both region and RUCC (P<0.0001 and P =0.0001, respectively). The analysis shows that risk-adjusted cancer incidence varies significantly across regions. However, we also found that rural cancer incidence significantly varied across otherwise-similar rural areas implying that 'rural' is not a homogeneous classification.","Cancer,Health disparities,Rural","English",2015307601,,
"Female Breast Cancer Incidence among Asian and Western Populations: More Similar Than Expected","Sung H., Rosenberg P.S., Chen W.-Q., Hartman M., Lim W.-Y., Chia K.S., Wai-Kong Mang O., Chiang C.-J., Kang D., Ngan R.K.-C., Tse L.A., Anderson W.F., Yang X.R.","Journal of the National Cancer Institute","2015","Article","1460-2105 (electronic),0027-8874","Background: Previous reports suggested that female breast cancer is associated with earlier ages at onset among Asian than Western populations. However, most studies utilized cross-sectional analyses that may be confounded by calendar-period and/or birth cohort effects. We, therefore, considered a longitudinal (forward-looking) approach adjusted for calendar-period changes and conditioned upon birth cohort. Methods: Invasive female breast cancer data (1988-2009) were obtained from cancer registries in China, Hong Kong, South Korea, Taiwan, Singapore, and the United States. Age-period-cohort models were used to extrapolate longitudinal age-specific incidence rates for the 1920, 1944, and 1970 birth cohorts. Results: Cross-sectional age-specific incidence rates rose continuously until age 80 years among US white women, but plateaued or decreased after age 50 years among Asian women. In contrast, longitudinal age-specific rates were proportional (similar) among all Asian countries and the United States with incidence rates rising continuously until age 80 years. The extrapolated estimates for the most recent cohorts in some Asian countries actually showed later ages at onset than in the United States. Additionally, over successive birth cohorts, the incidence rate ratios (IRRs) for the longitudinal curves converged (narrowed) between Asian and US white women. Conclusions: Similar longitudinal age-specific incidence rates along with converging IRRs indicate that the age effects for invasive breast cancer are more similar among Asian and Western populations than might be expected from a solely cross-sectional analysis. Indeed, the Asian breast cancer rates in recent generations are even surpassing the historically high rates in the United States, highlighting an urgent need for efficient prevention and treatment strategies among Asian populations.",,"English",2015312018,25868578,10.1093/jnci/djv107
"Why have breast cancer mortality rates declined?","Narod S.A., Iqbal J., Miller A.B.","Journal of Cancer Policy","2015","Article","2213-5383 (electronic)","The recent decline in breast cancer mortality in the USA might be due to prevention or to screening mammography or to improved treatment protocols. We sought to determine which factors are likely to be responsible for the observed decline in breast cancer mortality. We used the Surveillance, Epidemiology and End Results (SEER) database to estimate incidence rates, mortality rates, and survival from breast cancer for white women who were diagnosed with invasive breast cancer from 1975 to 2011.From 1975 to 2010, the mortality of breast cancer declined from 32 per 100,000 per year to 21 per 100,000 per year (34%). At the same time, the incidence increased by 30%, in particular for localized breast cancers (62%) without a commensurate decline in the number of regional breast cancers. From 1975 to 2002, 10-year survival increased by 28% (from 64.9% to 82.8%). The increase in survival was greater for regional cancers (23%), than for localized (10%) or for distant cancers (3%).The decline in breast cancer mortality in the USA from 1975 to 2010 is unlikely to be the result of advances in prevention or screening. The large increase in the incidence of localized cancers without a corresponding decrease in advanced breast cancers suggests a prominent stage shift, due to overdiagnosis. The drop in the mortality rate could be accounted for by an improvement in cancer survival, likely due to increased use of adjuvant chemotherapy over the period.","Breast cancer,Case fatality rate,Incidence rate,Mortality rate,Prevention and control,SEER program,Survival","English",2015334241,,10.1016/j.jcpo.2015.03.002
"Genetic variants in hypothalamic-pituitary-adrenal axis genes and breast cancer risk in Caucasians and African Americans","Nan H., Dorgan J.F., Rebbeck T.R.","International Journal of Molecular Epidemiology and Genetics","2015","Article","1948-1756 (electronic)","Elevated circulating levels of the adrenal androgen dehydroepiandrosterone (DHEA) and its sulfate (DHEAS) are associated with increased breast cancer risk in prospective studies. Genetic variants in hypothalamicpituitary- adrenal (HPA) axis genes may contribute to these circulating hormone levels, and consequently to breast cancer risk. No previous studies have examined the effects of genetic variants in HPA axis genes on breast cancer risk. We evaluated the associations of 49 single nucleotide polymorphisms (SNPs) in five HPA axis genes (NR3C1, NR3C2, CRH, CRHR1, and CRHBP) with the risk of breast cancer in the Women’s Insights and Shared Experiences (WISE) Study of Caucasians (346 cases and 442 controls), as well as African Americans (149 cases and 246 controls). Of the 49 SNPs evaluated, one showed a nominal significant association (P for trend < 0.05) with breast cancer risk among Caucasians, and another two among African Americans. The age-adjusted additive odds ratio (OR) (95% confidence interval (95% CI)) of the SNP rs11747190[A] in the CRHBP gene for the risk of breast cancer among Caucasian women was 1.45 (1.09-1.94). The age-adjusted additive ORs (95% CIs) of two SNPs (CRHBP rs1700688[T] and CRHR1 rs17689471[C]) for the risk of breast cancer among African American women were 1.84 (1.13-2.98) and 2.48 (1.20-5.13), respectively. However, these SNPs did not show significant associations after correction for multiple testing. Our findings do not provide strong supportive evidence for the contribution of genetic variants in these HPA axis genes to the risk of developing breast cancer in either Caucasians or African Americans.","Breast cancer,HPA axis genes,Single nucleotide polymorphism","English",2015370576,,
"Cancer prevention research in China","Yu S., Yang C.S., Li J., You W., Chen J., Cao Y., Dong Z., Qiao Y.","Cancer Prevention Research","2015","Article","1940-6215 (electronic),1940-6207","Although cancer incidence and mortality rates in the United States and some European countries have started to decrease, those in developing countries are increasing. China, the most populous developing country, is facing a serious challenge from cancer. Cancer incidence has been increasing for decades, and cancer is the leading cause of death in China. In 2012, the cancer incidence was 174.0 per 100,000, and the cancer mortality was 122.2 per 100,000 in China. In addition to the still-prevalent traditional Chinese cancers of the stomach, liver, esophagus, cervix, and nasopharynx, the incidence of ""Western"" cancers such those of the lung, breast, and colorectum has increased alarmingly in recent years. These increases are likely due to the lifestyle and environmental changes associated with rapid economic development and population aging. More importantly, a large portion of these cancers are preventable. Researchers in China have made important contributions to cancer prevention research, especially in the traditional Chinese cancers. More cancer prevention research and measures, especially on the major emerging cancers, are urgently needed. This review article highlights some of the past achievements and present needs in cancer prevention research in China and suggests important areas for future studies.",,"English",2015390363,26076697,10.1158/1940-6207.CAPR-14-0469
"Expression of intratumoral IGF-II Is regulated by the gene imprinting status in triple negative breast cancer from Vietnamese patients","Radhakrishnan V.K., Hernandez L.C., Anderson K., Tan Q., De León M., De León D.D.","International Journal of Endocrinology","2015","Article","1687-8345 (electronic),1687-8337","African American women suffer higher incidence and mortality of triple negative breast cancer (TNBC) than Caucasian women. TNBC is very aggressive, causing the worst clinical outcome. We previously demonstrated that tumors from these patients express high IGF-II and exhibit high activation of the IGF signaling pathways. IGF-II gene expression is imprinted (monoallelic), promotes tumor progression, and metastasis and regulates Survivin, a TNBC prognostic marker. Since BC mortality has increased among young Vietnamese women, we analyzed 48 (paired) TNBC samples from Vietnamese patients to assess IGF-II expression. We analyzed all samples by qrtPCR for identification of IGF-II heterozygosity and to determine allelic expression of the IGF-II gene. We also analyzed the tissues for proIGF-II and Survivin by RT-PCR and Western blotting. A total of 28 samples displayed IGF-II heterozygosity of which 78% were biallelic. Tumors with biallelic IGF-II gene expression exhibited the highest levels of proIGF-II and Survivin. Although 100% of these tissues corresponding normal samples were biallelic, they expressed significantly lower levels of or no proIGF-II and Survivin. Thus, IGF-II biallelic gene expression is differentially regulated in normal versus tumor tissues. We propose that intratumoral proIGF-II is dependent on the IGF-II gene imprinting status and it will promote a more aggressive TNBC.",,"English",,,10.1155/2015/401851
"The impact of economic recession on the incidence and treatment of cancer","Ennis K.Y., Chen M.-H., Smith G.C., D'Amico A.V., Zhang Y., Aidan Quinn S., Ryemon S.N., Goltz D., Harrison L.B., Ennis R.D.","Journal of Cancer","2015","Article","1837-9664 (electronic)","Purpose: The impact of economic recessions on the incidence and treatment of cancer is unknown. We test the hypothesis that cancer incidence and treatment rates decrease during a recession, and that this relationship is more pronounced in cancers that present with mild, more easily ignored symptoms. Methods and Materials: Data on incidence and treatment for all cancers, and breast and pancreatic cancers specifically, from 1973-2008, were collected using Surveillance Epidemiology and End Results (SEER). The data was adjusted for race, income, and education. Unemployment rate was used as the measure of economic recession. Data was log-transformed, and multivariate linear mixed regression was used. Results: Adjusting for socioeconomic factors, the data revealed a significant inverse correlation between unemployment and rates of cancer incidence and treatment. Every 1% increase in unemployment was associated with a 2.2% (95% CI: 1.6-2.8%, p < 0.001) reduction in cancer incidence, a 2.0% (1.2-2.8%, p=0.0157) decrease in surgery, and a 9.1% (8.2-10.0% p < 0.001) decrease in radiation therapy (RT). Breast cancer incidence and treatment had a dramatic inverse relationship - 7.2% (6.3-8.1%), 6.7% (5.7-7.6%), and 19.0% (18.1-19.8%), respectively (p < 0.001 for all). The decrease in incidence was only significant for in situ and localized tumors, but not in regional or distant breast cancer. Compared to breast cancer, pancreatic cancer had a weaker relationship between unemployment and incidence: 2.6% (1.8-3.3%, p=0.0005), surgery: 2.4% (2.0-2.7%, p < 0.001), and RT: 1.9% (1.5-2.2% p < 0.001). Conclusions: Increasing unemployment rates are associated with a decrease in the incidence and treatment of all cancers. This effect is exaggerated in breast cancer, where symptoms can more easily be ignored and where there are widely used screening tests relative to pancreatic cancer.","Cancer,Economic recessions,Tre","English",2015534123,,10.7150/jca.11886
"Cancer incidence in indigenous people in Australia, New Zealand, Canada, and the USA: A comparative population-based study","Moore S.P., Antoni S., Colquhoun A., Healy B., Ellison-Loschmann L., Potter J.D., Garvey G., Bray F.","The Lancet Oncology","2015","Article","1474-5488 (electronic),1470-2045","Introduction: Indigenous people have disproportionally worse health and lower life expectancy than their non-indigenous counterparts in high-income countries. Cancer data for indigenous people are scarce and incidence has not previously been collectively reported in Australia, New Zealand, Canada, and the USA. We aimed to investigate and compare, for the first time, the cancer burden in indigenous populations in these countries. Methods: We derived incidence data from population-based cancer registries in three states of Australia (Queensland, Western Australia, and the Northern Territory), New Zealand, the province of Alberta in Canada, and the Contract Health Service Delivery Areas of the USA. Summary rates for First Nations and Inuit in Alberta, Canada, were provided directly by Alberta Health Services. We compared age-standardised rates by registry, sex, cancer site, and ethnicity for all incident cancer cases, excluding non-melanoma skin cancers, diagnosed between 2002 and 2006. Standardised rate ratios (SRRs) and 95% CIs were computed to compare the indigenous and non-indigenous populations of each jurisdiction, except for the Alaska Native population, which was compared with the white population from the USA. Findings: We included 24 815 cases of cancer in indigenous people and 5 685 264 in non-indigenous people from all jurisdictions, not including Alberta, Canada. The overall cancer burden in indigenous populations was substantially lower in the USA except in Alaska, similar or slightly lower in Australia and Canada, and higher in New Zealand compared with their non-indigenous counterparts. Among the most commonly occurring cancers in indigenous men were lung, prostate, and colorectal cancer. In most jurisdictions, breast cancer was the most common cancer in women followed by lung and colorectal cancer. The incidence of lung cancer was higher in indigenous men in all Australian regions, in Alberta, and in US Alaska Natives than in their non-indigenous counterparts. For breast cancer, rates in women were lower in all indigenous populations except in New Zealand (SRR 1·23, CI 95% 1·16-1·32) and Alaska (1·14, 1·01-1·30). Incidence of cervical cancer was higher in indigenous women than in non-indigenous women in most jurisdictions, although the difference was not always statistically significant. Interpretation: There are clear differences in the scale and profile of cancer in indigenous and non-indigenous populations in Australia, New Zealand, Canada, and the USA. Our findings highlight the need for much-improved, targeted programmes of screening, vaccination, and smoking cessation, among other prevention strategies. Governments and researchers need to work in partnership with indigenous communities to improve cancer surveillance in all jurisdictions and facilitate access to cancer data. Funding: International Agency for Research on Cancer-Australia Fellowship.",,"English",20151062516,26476758,10.1016/S1470-2045(15)00232-6
