rec_id,PMID/DOI,Title,Decision,Classification,Reason / rationale,PDF
612,36190501,"Breast Cancer Statistics, 2022 (2022)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
617,17939129,"Annual report to the nation on the status of cancer, 1975-2004, featuring cancer  in American Indians and Alaska Natives (2007)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
687,15922628,"Urbanization and breast cancer incidence in North Carolina, 1995-1999 (2005)",Included,narrative,NC urbanization x race incidence 1995-1999; comparator=urban/rural not NHW -> narrative,Y
694,11390532,"Annual report to the nation on the status of cancer (1973 through 1998),  featuring cancers with recent increasing trends (2001)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
701,39937364,"Geographic differences in early-onset breast cancer incidence trends in the USA, 2001–2020, is it time for a geographic risk score? (2025)",Included,narrative,| quant->narrative: early-onset BC geographic incidence-TRENDS (temporal/geographic trend),Y
751,15090727,Population-based statistics for women diagnosed with inflammatory breast cancer (United States) (2004),Included,narrative,population-based IBC stats 1994-1998; race-specific IBC incidence unclear -> narrative/verify,N
754,38996557,Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific  Islands (2024),Included,narrative,6 US-Affiliated Pacific Islands vs US incidence PRCCR 2007-2020; comparator=US-overall | RECLASS q->n: USAPI vs US-API/Hawaii comparator; not vs NHW,N
788,31145458,"Annual Report to the Nation on the Status of Cancer, Featuring Cancer in Men and Women Age 20–49 Years (2019)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
825,10820364,"The annual report to the nation on the status of cancer, 1973-1997, with a  special section on colorectal cancer (2000)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
916,36622036,Disparities in cancer incidence by rurality in California (2023),Included,narrative,CCR rurality x race incidence 2015-2019; comparator=rurality not NHW -> narrative,Y
955,19067192,Cancer among Asian Indians/Pakistanis living in the United States: Low incidence and generally above average survival (2009),Included,quant-extracted,Asian Indian/Pakistani low incidence vs NHW SEER; overlaps 54/3228 AIPA,Y
968,19998273,"Annual report to the nation on the status of cancer, 1975-2006, featuring  colorectal cancer trends and impact of interventions (risk factors, screening, and treatment) to reduce future rates (2010)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
985,11275449,"The risk of developing breast cancer within the next 5, 10, or 20 years of a woman's life (2001)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — age-conditional/lifetime risk overall California women; NOT stratified by race/ethnicity,Y
998,28854891,"Cancer-related risk factors and incidence of major cancers by race, gender and region; analysis of the NIH-AARP diet and health study (2017)",Included,narrative,NIH-AARP prospective cohort incidence by race; cohort not population-based registry -> narrative,N
1015,16804474,Breast cancer trends among young women in the United States (2006),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — young women incidence trends by age; NOT stratified by race/ethnicity,Y
1101,37740603,Cancer incidence in the Somali population of Olmsted County: A Rochester epidemiology project study (2023),Included,narrative,| quant->narrative: Somali immigrants Olmsted County (small immigrant cohort; no clean NHW comparator),N
1106,32940362,"Cancer statistics for adolescents and young adults, 2020 (2020)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Cancer Statistics for AYA 2020,Y
1196,22237781,"Cancer statistics, 2012 (2012)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
1336,,"Disparities in breast cancer incidence and survival by age, race, and molecular subtype in US women (2026)",Included,narrative,"| quant->narrative: Tables 1-2 are mortality HAZARD RATIOS (Cox models), not incidence rate ratios",Y
1398,41989785,"Early-Onset Cancer Incidence Disparities Between Black and White Individuals in the US, 2003-2022 (2026)",Included,narrative,"reclassified from quant: early-onset Black-vs-White IRR reported as an annual trend (1.03 in 2003 to 0.94 in 2022), not a single poolable estimate",N
1453,41400551,"American Cancer Society’s Report on the Status of Cancer Disparities in the United States, 2025 (2026)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): ACS Report on Cancer Disparities 2025 (most recent),N
1457,41528114,"Cancer statistics, 2026 (2026)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Cancer Statistics 2026 (most recent ACS all-cancer annual; breast-by-race table),N
1462,41742962,Rising Breast Cancer Incidence and Poor Outcomes in Young Women: A Retrospective Study (2026),Excluded,Ineligible population,"Ineligible population — TriNetX EHR research network denominator, not population-based registry (cf NCDB)",N
1470,42377962,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations (2026)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — invited commentary accompanying rec 234 (JAMA Netw Open); no independent incidence data,Y
1478,41385397,"Cancer incidence, stage at diagnosis, and trends across the Navajo Nation, 2014–2018 (2025)",Included,quant-extracted,Navajo vs NHW breast incidence 2014-2018; key Navajo subgroup; breast among 22 - verify breast row,Y
1569,,Characterizing cancer patterns in Okinawan vs. mainland Japanese Americans: The Multiethnic Cohort Study (2025),Included,narrative,MEC Okinawan vs mainland Japanese; cohort + comparator not NHW -> narrative,N
1629,40189850,Inequalities in Fertility-Impacting Cancer Incidence Among Young Populations in the United States (2025),Included,narrative,SEER fertility-impacting cancer GROUPS by race; breast within reproductive group not separable -> narrative,N
1637,39808161,Cancer Incidence in the Hispanic Community Health Study/Study of Latinos (HCHS/SOL)—The Onco-SOL Ancillary Study (2025),Included,narrative,HCHS/SOL Hispanic heritage disaggregation; cohort + comparator=heritage not NHW -> narrative,N
1693,10.2139/ssrn.5051333,Regional Disparities in Incidence and Outcomes of Invasive Ductal Carcinoma Among Asian and Pacific Islander Women in the United States (2024),Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — SSRN preprint duplicate of published 425 (same SEER17 API invasive-ductal by region),Y
1761,10.3390/cancers16203462,Differences in Breast Cancer Subtypes among Racial/Ethnic Groups (2024),Excluded,Ineligible population,Ineligible population — Hawaii hospital tumor registries not population-based HTR; subtype-by-race covered by 522/161,Y
1762,39094298,Early-onset cancer incidence in the United States by race/ethnicity between 2011 and 2020 (2024),Included,narrative,early-onset incidence by race SEER 2011-2020; breast among cancers - verify breast row; overlaps 1398/701 | RECLASS q->n: multi-cancer; breast reported as APC(trend) only,Y
1800,38801414,"Rural–Urban Cancer Incidence and Trends in the United States, 2000 to 2019 (2024)",Included,narrative,full text unavailable (supp table only); rural-urban comparator not NHW -> narrative; overlaps rural 916/474/476,N
1875,38230766,"Cancer statistics, 2024 (2024)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2021,36633525,"Cancer statistics, 2023 (2023)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2038,,"Incidence trends in triple-negative breast cancer among women in the United States from 2010 to 2019 by race/ethnicity, age and tumor stage (2023)",Excluded,Full text unavailable,Full text unavailable — no DOI/PMID; could not obtain; TNBC-by-race topic covered by 155/209/286/2406,N
2131,35699957,"Associations of Obesity, Physical Activity, and Screening With State-Level Trends and Racial and Ethnic Disparities of Breast Cancer Incidence and Mortality in the US (2022)",Included,quant-extracted,state-level IRRs minority vs White USCS 1999-2017; obesity/PA/screening correlates but race IRRs present,Y
2137,35119703,"Cancer disparities among non-Hispanic urban American Indian and Alaska Native populations in the United States, 1999-2017 (2022)",Included,quant-eligible,"urban AI/AN vs NHW incidence 1999-2017; breast among cancers; overlaps AIAN national (134/500/2510) | DEFER-quant: urban AI/AN vs White 1999-2017; rate table not in flattened text, no PDF - overlaps represented AIAN",Y
2151,34878180,"American Cancer Society's report on the status of cancer disparities in the United States, 2021 (2022)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Disparities); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
2163,10.1101/2022.02.21.22271266,Estrogen receptor negative breast cancer incidence rates are similar in Ghanaian and Non-Hispanic Black women in the USA (2022),Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — ERN incidence NHB/NHW SEER17 2013-2015 + Ghana; companion/overlap to rec 10 (preprint) | RECLASS ->exclude: medRxiv PREPRINT duplicate of rec 10 (Davis Lynn 2025),N
2176,35020204,"Cancer statistics, 2022 (2022)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2302,33392441,"Breast Cancer Incidence Trends by Estrogen Receptor Status among Asian American Ethnic Groups, 1990-2014 (2021)",Included,narrative,6 Asian American ethnicities vs NHW by ER SEER9+API 1990-2014 | RECLASS q->n: EAPC(%/yr) trends only; no absolute rate/IRR,Y
2406,32337499,Subtype-specific breast cancer incidence rates in black versus white men in the United States (2020),Included,quant-extracted,male breast cancer subtype incidence black/white NPCR-SEER 2010-2016; male-BC target,Y
2413,31912902,"Cancer statistics, 2020 (2020)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2440,31428891,Cancer incidence and associations with known risk and protective factors: the Alaska EARTH study (2019),Included,narrative,Alaska EARTH cohort incidence + risk-factor associations; not primarily AN-vs-NHW breast -> narrative,N
2453,31392297,Incidence and survival among young women with stage I-III breast cancer: Seer 2000-2015 (2019),Included,narrative,| quant->narrative: young women stage I-III incidence & SURVIVAL SEER (survival focus),N
2473,30762872,"Cancer statistics for African Americans, 2019 (2019)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2510,31575554,"Disparities in cancer incidence and trends among American Indians and Alaska natives in the United States, 2010–2015 (2019)",Included,quant-extracted,AI/AN vs white incidence 2010-2015; breast among cancers; overlaps AIAN national (134/500/2137),Y
2537,30285281,"Cancer Statistics for Hispanics/Latinos, 2018 (2018)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2548,29975407,"Cancer patterns in Hmong in Minnesota, 2000 to 2012 (2018)",Included,narrative,| quant->narrative: Hmong Minnesota; comparators are All-Minnesotans/API (not NHW) and per-total-population both-sex rates,Y
2601,29313949,"Cancer statistics, 2018 (2018)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2610,,"The fluctuating incidence, improved survival of patients with breast cancer, and disparities by age, race, and socioeconomic status by decade, 1981–2010 (2018)",Included,narrative,incidence by race/SES/decade SEER9 1981-2010; survival focus but incidence-by-race present | RECLASS q->n: stage-distribution % not incidence IRR,Y
2698,28055103,"Cancer Statistics, 2017 (2017)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2732,,Incidence rate for breast cancer in Japanese in Japan and in the United States from the Cancer Incidence in Five Continents (2016),Included,narrative,brief CI5-based Japanese Japan vs US ASRs; very short -> narrative,Y
2796,26375877,"Cancer statistics for Hispanics/Latinos, 2015 (2015)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2843,25559415,"Cancer statistics, 2015 (2015)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2917,24114568,"Breast cancer statistics, 2013 (2014)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2989,23386565,"Cancer statistics for African Americans, 2013 (2013)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
3116,10.1089/jwh.2010.2082,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004 (2011)",Excluded,Full text unavailable,"Full text unavailable — could not obtain: Time trends BC incidence Pennsylvania 1985-2004; state registry, redundant regionally",N
3182,19661072,"Cancer incidence in first generation U.S. Hispanics: Cubans, Mexicans, Puerto Ricans, and New Latinos (2009)",Included,quant-extracted,first-generation Hispanic subgroups vs NHW Florida 1999-2001; Hispanic disaggregation; verify breast,Y
3186,10.1016/s1043-321x(09)79313-0,Age-Related Crossover in Breast Cancer Incidence Rates between Black and White Women: Implications for Removing Racial Disparities in Breast Cancer Care (2009),Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — book-chapter duplicate of 265 (same SEER9 1975-2004 crossover analysis),Y
3188,19474385,"Cancer statistics, 2009 (2009)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
3212,19109819,Fifty years of cancer in an American Indian population (2009),Included,narrative,| quant->narrative: Seneca Nation single-tribe 50-year cohort; overlaps represented AIAN,Y
3228,18696716,"Cancer health disparities among Indian and Pakistani immigrants in the United States a Surveillance, Epidemiology, and End Results-based study from 1988 to 2003 (2008)",Included,narrative,AIPA SEER 1988-2003; incidence could not be calculated accurately (PIR/survival focus) -> narrative; overlaps 54/955,Y
3230,18720386,"Cancer in American Indian and Alaska Native Young Adults (Ages 20-44 Years): US, 1999-2004 (2008)",Included,narrative,| quant->narrative: AI/AN IHS-linked CHSDA incidence; overlaps IHS-PRCDA AIAN representative,Y
3243,18287387,"Cancer statistics, 2008 (2008)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
3247,18094016,"Cancer incidence rates among South Asians in four geographic regions: India, Singapore, UK and US (2008)",Included,narrative,| quant->narrative: South Asian international registries (Singapore/UK/US); international comparison,Y
3267,17654663,"Cambodian cancer incidence rates in California and Washington, 1998-2002 (2007)",Included,quant-extracted,Cambodian vs NHW incidence + RR CA+WA 1998-2002; key Cambodian subgroup,Y
3268,17844709,Improving cancer incidence estimates for American Indians in Wisconsin (2007),Excluded,Full text unavailable,"Full text unavailable — could not obtain: Improving cancer incidence estimates American Indians Wisconsin; AIAN methods, overlaps other AIAN",N
3275,18159978,"Cancer incidence in the Middle Eastern population of California, 1988-2004. (2007)",Included,narrative,| quant->narrative: Middle Eastern California vs Globocan; same ME-California population as rec587 (overlap) + international comparison,Y
3288,17242674,Cancer incidence among Korean-American immigrants in the United States and native Koreans in South Korea (2007),Included,narrative,| quant->narrative: Korean-American vs native-Korean migrant comparison; Korean covered by rec234,Y
3298,16933057,"Patterns of cancer incidence among US Hispanics/Latinos, 1995-2000 (2006)",Included,quant-extracted,national Hispanic vs NHW incidence NAACCR 1995-2000; verify breast row,Y
3322,,"Cancer incidence in the South Asian population of California, 1988-2000 (2005)",Included,narrative,reclassified from quant: California South Asian rates vs India (no NHW comparator),Y
3345,15661684,"Cancer statistics, 2005 (2005)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
3360,15328946,The effect of migration on cancer incidence among Japanese in Hawaii (2004),Included,narrative,Japanese-in-Hawaii migration; rates graphed figure-based -> narrative; overlaps Hawaii,Y
3369,14997057,Is male breast cancer similar or different than female breast cancer? (2004),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — male vs female breast incidence SEER; NOT stratified by race/ethnicity,Y
3373,14974761,"Cancer Statistics, 2004 (2004)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
3394,12784344,Cancer in the Minnesota Hmong population (2003),Included,narrative,Minnesota Hmong PIR not incidence rate -> narrative; overlaps 2548 (newer MCSS Hmong),Y
3398,12749722,"Cancer incidence patterns in Koreans in the US and in Kangwha, South Korea (2003)",Included,quant-extracted,Korean vs NHW incidence + RR US(SEER+CA) 1988-1992; key Korean; overlaps 3288,Y
3429,11814064,"Cancer statistics, 2002 (2002)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
3522,10.1002/cncr.35026,"Annual Report to the Nation on the Status of Cancer, part 2: Early assessment of the COVID-19 pandemic’s impact on cancer diagnosis (2024)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
3640,,Structural Racism and Triple-Negative Breast Cancer among Black and White Women in the United States (2022),Included,narrative,structural-racism x TNBC black/white SEER18 2010-2016; exposure-framed -> narrative,Y
3662,,"Incidence of and Trends in the Leading Cancers with Elevated Incidence among American Indian and Alaska Native Populations, 2012-2016 (2021)",Included,quant-extracted,AI/AN vs NHW elevated-incidence cancers incl breast + RR by region 2012-2016; overlaps AIAN national,Y
3713,10.1007/978-3-319-41118-7_3,Cancer incidence and mortality among Filipinos in the USA and the Philippines: Patterns and trends (2016),Excluded,Overlapping or duplicate dataset,"Overlapping or duplicate dataset — Scopus book chapter (Springer, no PubMed); secondary Filipino synthesis - data covered by primary 80/100/4098",N
3780,,Risk of cancer in Asian Americans: a Kaiser Permanente cohort study (2016),Included,narrative,Kaiser Permanente cohort Asian vs NHW; cohort not population-based registry -> narrative,Y
3845,,"Characterizing inflammatory breast cancer among Arab Americans in the California, Detroit and New Jersey Surveillance, Epidemiology and End Results (SEER) registries (1988-2008) (2013)",Included,narrative,Arab American inflammatory BC CA/Detroit/NJ SEER 1988-2008; OR not incidence rate -> narrative; key Arab subgroup,N
3861,,Asian ethnicity and breast cancer subtypes: A study from the California Cancer Registry (2011),Included,narrative,Asian ethnicity BC subtypes vs NHW CCR; subtype; overlaps CCR Asian (324/463) | RECLASS q->n: subtype case-mix OR; not incidence IRR,Y
3891,,Changes in cancer incidence patterns among a northeastern American Indian population: 1955-1969 versus 1990-2004 (2009),Included,narrative,| quant->narrative: AI/AN rural incidence; regional AIAN overlap,Y
3999,,"Cancer incidence patterns among Vietnamese in the United States and Ha Noi, Vietnam (2002)",Included,narrative,| quant->narrative: Vietnamese US vs Ha Noi migrant comparison; Vietnamese covered by rec234,Y
4026,37119997,"Incidence of selected cancers in Non-Hispanic American Indian and Alaska Native adolescent and young adult populations, 1999-2019 (2023)",Included,narrative,| quant->narrative: AI/AN adolescent-young-adult (AYA) age-restricted incidence; overlaps represented AIAN,Y
4027,26661680,"Cancer incidence among Asian American populations in the United States, 2009-2011 (2016)",Included,quant-eligible,"6 Asian subgroups vs NHW incidence SEER+NPCR 2009-2011; overlaps 151/4040 | DEFER-quant: Asian-American incidence 2009-2011 (NAACCR); subgroup table not in flattened text, no PDF - disaggregated Asian covered by rec234",Y
4035,15221985,"Annual report to the nation on the status of cancer, 1975-2001, with a special feature regarding survival (2004)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4037,21685461,The Impact of Eliminating Socioeconomic and Racial Disparities on Premature Cancer Deaths (2011),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — ACS eliminate-disparities report; all-cancer premature-deaths/mortality focus; not breast incidence by race,Y
4039,16388524,Racial/ethnic patterns in lifetime and age-conditional risk estimates for selected cancers (2006),Included,narrative,"DevCan lifetime & age-conditional risk by race incl breast SEER; detailed racial/ethnic groups | RECLASS q->n: lifetime/age-conditional RISK (DevCan %), not age-adj incidence IRR - separate outcome dimension",Y
4040,18066673,Cancer incidence and mortality patterns among specific Asian and Pacific Islander populations in the US (2008),Included,quant-extracted,API subgroups vs NHW incidence 1998-2002; breast among sites - verify; overlaps 4027/151,Y
4043,37223193,"Trends in Breast Cancer Incidence and Mortality in the United States From 2004-2018: A Surveillance, Epidemiology, and End Results (SEER)-Based Study (2023)",Included,narrative,reclassified from quant: descriptive/discussion (Cureus 2023); no poolable race-specific incidence rate table,N
4050,23297039,"Annual Report to the Nation on the Status of Cancer, 19752009, Featuring the Burden and Trends in Human Papillomavirus (HPV)Associated Cancers and HPV Vaccination Coverage Levels (2013)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4057,21969133,"Breast cancer statistics, 2011 (2011)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4058,28553811,"White-Black Differences in Cancer Incidence, Stage at Diagnosis, and Survival Among Older Adults (2018)",Included,narrative,White/Black breast incidence older adults 65+ SEER18 2009-2013; survival focus but incidence present | RECLASS q->n: tumor characteristics + incidence trends over time; no clean cross-sectional 65+ Black/White breast IRR,Y
4065,24399786,"Cancer Statistics, 2014 (2014)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4066,21454908,"Annual Report to the Nation on the Status of Cancer, 1975-2007, Featuring Tumors of the Brain and Other Nervous System (2011)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4071,12953083,"Annual report to the nation on the status of cancer, 1975-2000, featuring the uses of surveillance data for cancer prevention and control (2003)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4082,40257373,"Annual Report to the Nation on the Status of Cancer, featuring state-level statistics after the onset of the COVID-19 pandemic (2025)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Annual Report to the Nation 2025 (most recent; comprehensive SEER+NPCR national),N
4098,17626117,"Cancer incidence, mortality, and associated risk factors among Asian Americans of Chinese, Filipino, Vietnamese, Korean, and Japanese ethnicities (2007)",Included,quant-extracted,Chinese/Filipino/Vietnamese/Korean/Japanese vs NHW incidence CCR 2000-2002; overlaps CCR Asian,Y
4147,21749024,AN EXCESS OF BREAST CANCER AMONG YOUNG CALIFORNIA-BORN ASIAN WOMEN (2011),Included,narrative,"reclassified from quant: case-control odds ratios (Reynolds 2011), not population-based incidence rate ratios",Y
4164,19033571,"Annual Report to the Nation on the Status of Cancer, 1975-2005, Featuring Trends in Lung Cancer, Tobacco Use, and Tobacco Control (2008)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4172,23335087,"Cancer statistics, 2013 (2013)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4213,22987332,"Cancer statistics for Hispanics/Latinos, 2012 (2012)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4216,22460733,"Annual Report to the Nation on the status of cancer, 1975-2008, featuring cancers associated with excess weight and lack of sufficient physical activity (2012)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4294,39976243,"Cancer statistics for African American and Black people, 2025 (2025)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Cancer Statistics for AA/Black People 2025 (most recent),N
4333,12365024,Cancer among Hispanic women in South Florida: An 18-year assessment - A report from the Florida Cancer Data System (2002),Included,quant-extracted,Hispanic vs NHW incidence + SRR Miami-Dade FL 1981-1998; overlaps 3182 Florida Hispanic,Y
4336,28407201,Cancer Incidence Profile in Sub-Saharan African-Born Blacks in the United States: Similarities and Differences With US-Born Non-Hispanic Blacks (2017),Included,narrative,Sub-Saharan African-born vs US-born Black PIR SEER17 2000-2012; could not calc incidence rates -> narrative; key African-born,Y
4357,12924775,"Cancer statistics for Hispanics, 2003 (2003)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
4389,24013772,Differences in the cancer burden among foreign-born and US-born Arab Americans living in metropolitan Detroit (2013),Included,narrative,Arab American foreign/US-born PIR vs NHW MDCSS 1990-2009; PIR not incidence rate -> narrative; overlaps 3845,N
4429,28801942,"Cancer risk in different generations of Middle Eastern immigrants to California, 1988-2013 (2017)",Included,narrative,ME immigrant generations CCR 1988-2013; generational comparison likely PIR -> narrative; overlaps 587/3275,N
